raining,-0.0353199324318
h.264,-0.187793117794
apache-ivy,-0.0509248730338
task-manager,-0.107607716544
opengl,-0.466436950563
legacy-code,-0.482906221914
tcp-ip,-0.0481445749305
aegis,-0.0416500453964
hanging,0.527237479961
post-grad,-0.0964521853411
binary-operators,0.55323732923
database-installation,-0.0341284700298
program-design,-0.0284432494858
self-study,-0.0437400507475
inline-editing,-0.0391553045707
typeerror,-0.0428500621393
windows-ce,-0.6043259342
coreanimation,-0.037547899799
wm6,-0.0566077310312
diplomatic-terminology,-0.0330775315763
code-comments,-0.1882888211
xunit,-0.174219646256
sqlmanagmentstudio,-0.0646867392932
learningc#,-0.0313234790417
onsubmit,-0.0284872016804
hacked,-0.0300431531317
winsockets,-0.063968791755
filenotfoundexception,-0.0440806880888
perforce-changelist,-0.031003382374
dynamic,-0.433271000967
http-authentication,-0.127754461838
regional,-0.106367933613
browser-compatibility,0.0714490327142
nullabletypes,-0.0318418404746
fractal,-0.250193488259
mlg,-0.088512858975
error-code,-0.0413285640781
basics,0.471331016473
secondlife,-0.0596352693486
build-vs-buy,0.571015211908
prefix,-0.120216457188
rich-text,-0.235397850132
application-framework,-0.020485628949
vmware-server,0.45045834015
old-software,1.0046641595
computed-columns,-0.0380684905757
fastercsv,-0.0821167096066
image-management,-0.0386895334607
listview,-0.547391735447
bytecode,-0.380471228964
http-referer,-0.0980608437367
c#4.0,-0.0875089196812
eagle,-0.0434404807296
uclinux,-0.0744783084997
ngen,-0.0880016283172
dynamics-crm,-0.261885174831
feasibility,-0.081156332659
elegant,0.36304908071
pyglet,-0.0578654467101
eclipse-method-composer,-0.0462839205038
bootstrap,0.295950794851
certificate-authority,-0.16551022131
msysgit,-0.0502753525657
sql-server-agent,-0.0898339730783
maven-1x,-0.0233533362276
bittorrent,0.40149573012
findall,-0.0310014180592
development-environment,0.903666208307
class-names,-0.0698513137768
windows2008,0.584157818886
designing,-0.042302705277
vss2005,-0.0302454436149
windows2003,-0.0580652479449
tcpclient,-0.0919525980907
widget,-0.90382419082
webcontrols,-0.247151883921
web3.0,-0.0243712926978
hotspot,0.1627287017
resgen,-0.0456206385917
gregorian-calendar,-0.0323789632896
tempuri,-0.0294106742673
clearcase,-0.659728614218
calculate,0.510947054437
cyclical,-0.0591829736575
kids,1.90024777551
reports,-0.0354036818831
memoryanalyzer,-0.0204413376048
freetextbox,-0.0360570350817
useragent,-0.0416411489169
head,-0.103272011316
activereports,-0.0829936034999
avm2,-0.0302815009426
jquery-ajax,-0.366578971147
iis,-0.666552448221
projection,-0.111598473616
classification,0.408015804578
microsoftoffice,-0.18203973116
high-load,-0.0497196686058
replace,-0.511539197918
mcisendstring,-0.0265560099877
unix,-0.407954066326
valuechangelistener,-0.0239479105119
computer-security,-0.137214242591
txt,-0.0218370876063
rrd,-0.146410753835
unit,-0.533490967038
alter-table,-0.137618046914
cheating,-0.0205679457833
browse,-0.0705444160942
fstream,-0.0803926594191
object-role-modeling,-0.0424014716691
event-listener,-0.0366153847483
design-view,-0.0206229217386
data-warehouse,-0.263983578739
openmpi,-0.0580296726487
music,0.295064883651
dns,-0.159913444634
tokenize,-0.176990761393
thread-safe,-0.128585533924
searching-xml,-0.0212149021134
swap,-0.0776712314512
jmx,-0.0974376863217
somebodytagthisplease,-0.033552820424
